2016-10-24 12:02:36	6e53079b31521cfecc9f9247af8f6f05.5804cb2f6b4a69.87294130	133.127.254.203	h203.n254.nhk.or.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E8%A6%AA%E5%AD%90%22%2C%22time%22%3A%222016-10-24%2012%3A02%3A35%3A998%22%7D/x.js	Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36
2016-10-24 12:02:39	6e53079b31521cfecc9f9247af8f6f05.5804cb2f6b4a69.87294130	133.127.254.203	h203.n254.nhk.or.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E8%A6%AA%E5%AD%90%E4%B8%BC%22%2C%22time%22%3A%222016-10-24%2012%3A02%3A39%3A329%22%7D/x.js	Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36
2016-10-24 12:02:42	6e53079b31521cfecc9f9247af8f6f05.5804cb2f6b4a69.87294130	133.127.254.203	h203.n254.nhk.or.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22search%22%2C%22string%22%3A%22%E8%A6%AA%E5%AD%90%E4%B8%BC%22%2C%22time%22%3A%222016-10-24%2012%3A02%3A42%3A560%22%7D/x.js	Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36
2016-10-24 12:02:46	6e53079b31521cfecc9f9247af8f6f05.5804cb2f6b4a69.87294130	133.127.254.203	h203.n254.nhk.or.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22detailShow%22%2C%22string%22%3A%22%E8%A6%AA%E5%AD%90%E4%B8%BC%22%2C%22recipes%22%3A%5B%22R3441%22%2C%22R3905%22%2C%22R3909%22%2C%22R2742%22%2C%22R4362%22%2C%22R4299%22%2C%22R4128%22%2C%22R3115%22%2C%22R3163%22%2C%22R4273%22%2C%22R4150%22%2C%22R4299%22%2C%22R3441%22%5D%2C%22VOD%22%3A%5B%5D%2C%22time%22%3A%222016-10-24%2012%3A02%3A46%3A106%22%7D/x.js	Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36
2016-10-24 12:03:54	6e53079b31521cfecc9f9247af8f6f05.5804cb2f6b4a69.87294130	133.127.254.203	h203.n254.nhk.or.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22search%22%2C%22string%22%3A%22%E8%A6%AA%E5%AD%90%E4%B8%BC%22%2C%22time%22%3A%222016-10-24%2012%3A03%3A54%3A679%22%7D/x.js	Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36
2016-10-24 12:03:58	6e53079b31521cfecc9f9247af8f6f05.5804cb2f6b4a69.87294130	133.127.254.203	h203.n254.nhk.or.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22detailShow%22%2C%22string%22%3A%22%E8%A6%AA%E5%AD%90%E4%B8%BC%22%2C%22recipes%22%3A%5B%22R3441%22%2C%22R3905%22%2C%22R3909%22%2C%22R2742%22%2C%22R4362%22%2C%22R4299%22%2C%22R4128%22%2C%22R3115%22%2C%22R3163%22%2C%22R4273%22%2C%22R4150%22%2C%22R4299%22%2C%22R3441%22%5D%2C%22VOD%22%3A%5B%5D%2C%22time%22%3A%222016-10-24%2012%3A03%3A57%3A884%22%7D/x.js	Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36
2016-10-24 12:05:40	6e53079b31521cfecc9f9247af8f6f05.5804cb2f6b4a69.87294130	133.127.254.203	h203.n254.nhk.or.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22search%22%2C%22string%22%3A%22%E8%A6%AA%E5%AD%90%E4%B8%BC%22%2C%22time%22%3A%222016-10-24%2012%3A05%3A40%3A559%22%7D/x.js	Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36
2016-10-24 12:05:44	6e53079b31521cfecc9f9247af8f6f05.5804cb2f6b4a69.87294130	133.127.254.203	h203.n254.nhk.or.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22detailShow%22%2C%22string%22%3A%22%E8%A6%AA%E5%AD%90%E4%B8%BC%22%2C%22recipes%22%3A%5B%22R3441%22%2C%22R3905%22%2C%22R3909%22%2C%22R2742%22%2C%22R4362%22%2C%22R4299%22%2C%22R4128%22%2C%22R3115%22%2C%22R3163%22%2C%22R4273%22%2C%22R4150%22%2C%22R4299%22%2C%22R3441%22%5D%2C%22VOD%22%3A%5B%5D%2C%22time%22%3A%222016-10-24%2012%3A05%3A44%3A077%22%7D/x.js	Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36
2016-10-24 12:07:23	6e53079b31521cfecc9f9247af8f6f05.5804cb2f6b4a69.87294130	133.127.254.203	h203.n254.nhk.or.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22search%22%2C%22string%22%3A%22%E3%81%86%E3%81%A9%E3%82%93%22%2C%22time%22%3A%222016-10-24%2012%3A07%3A23%3A194%22%7D/x.js	Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36
2016-10-24 12:07:26	6e53079b31521cfecc9f9247af8f6f05.5804cb2f6b4a69.87294130	133.127.254.203	h203.n254.nhk.or.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22detailShow%22%2C%22string%22%3A%22%E3%81%86%E3%81%A9%E3%82%93%22%2C%22recipes%22%3A%5B%22R3233%22%2C%22R3234%22%2C%22R4106%22%2C%22R4635%22%2C%22R2191%22%5D%2C%22VOD%22%3A%5B%5D%2C%22time%22%3A%222016-10-24%2012%3A07%3A26%3A503%22%7D/x.js	Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36
