2016-10-26 16:28:59	fa134ead9480f871cf8f88856a2f81b2.58055e03c42bd3.53328179	189.6.124.53	bd067c35.virtua.com.br	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-10-26%2005%3A28%3A59%3A315%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_3 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A551 Safari/602.1
2016-10-26 16:29:15	fa134ead9480f871cf8f88856a2f81b2.5804d30fdecff7.44800837	126.245.196.80	pw126245196080.16.panda-world.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-10-26%2016%3A29%3A15%3A636%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1
2016-10-26 16:29:22	fa134ead9480f871cf8f88856a2f81b2.5804d30fdecff7.44800837	126.245.196.80	pw126245196080.16.panda-world.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22search%22%2C%22start%22%3A%22Kobe%20International%20Conference%20Center%22%2C%22destination%22%3A%22Kobe%20International%20Conference%20Center%22%2C%22duration%22%3A%222.0%22%2C%22plan%22%3A%22restaurant%22%2C%22time%22%3A%222016-10-26%2016%3A29%3A21%3A860%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1
2016-10-26 16:29:46	fa134ead9480f871cf8f88856a2f81b2.5804d30fdecff7.44800837	126.245.196.80	pw126245196080.16.panda-world.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22detailShow%22%2C%22spot%22%3A%22%EF%BC%9Chttp%3A//data.lodosaka.jp/iswc2016hack/R001%EF%BC%9E%22%2C%22keyword%22%3A%22restaurant%22%2C%22recipes%22%3A%22%22%2C%22VOD%22%3A%22%22%2C%22time%22%3A%222016-10-26%2016%3A29%3A46%3A592%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1
2016-10-26 16:30:10	fa134ead9480f871cf8f88856a2f81b2.5804d30fdecff7.44800837	126.245.196.80	pw126245196080.16.panda-world.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22MapShow%22%2C%22spot%22%3A%22%EF%BC%9Chttp%3A//data.lodosaka.jp/iswc2016hack/R001%EF%BC%9E%22%2C%22time%22%3A%222016-10-26%2016%3A30%3A10%3A180%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1
2016-10-26 16:30:36	fa134ead9480f871cf8f88856a2f81b2.5804d30fdecff7.44800837	126.245.196.80	pw126245196080.16.panda-world.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-10-26%2016%3A30%3A35%3A917%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1
2016-10-26 16:30:56	fa134ead9480f871cf8f88856a2f81b2.5804d30fdecff7.44800837	126.245.196.80	pw126245196080.16.panda-world.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22gcvAPI%22%2C%22time%22%3A%222016-10-26%2016%3A30%3A56%3A533%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1
2016-10-26 16:31:12	fa134ead9480f871cf8f88856a2f81b2.5804d30fdecff7.44800837	126.245.196.80	pw126245196080.16.panda-world.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E7%A5%9E%E6%88%B8%22%2C%22time%22%3A%222016-10-26%2016%3A31%3A11%3A881%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1
2016-10-26 16:31:14	fa134ead9480f871cf8f88856a2f81b2.5804d30fdecff7.44800837	126.245.196.80	pw126245196080.16.panda-world.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22search%22%2C%22string%22%3A%22%E7%A5%9E%E6%88%B8%22%2C%22time%22%3A%222016-10-26%2016%3A31%3A14%3A243%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1
2016-10-26 16:31:17	fa134ead9480f871cf8f88856a2f81b2.5804d30fdecff7.44800837	126.245.196.80	pw126245196080.16.panda-world.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22detailShow%22%2C%22string%22%3A%22%E7%A5%9E%E6%88%B8%22%2C%22recipes%22%3A%5B%5D%2C%22VOD%22%3A%5B%5D%2C%22time%22%3A%222016-10-26%2016%3A31%3A17%3A139%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1
