2016-10-28 23:13:26	815e34d43b18b907c4aa9b43d5a172bc.5809e4d7bddd62.19085041	46.135.190.249	cst-prg-190-249.cust.vodafone.cz	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22detailShow%22%2C%22string%22%3A%22%E7%A7%8B%E6%91%98%E3%81%BF%E3%81%AE%E7%95%AA%E8%8C%B6%E3%81%AB%E3%80%81%E8%92%B8%E3%81%97%22%2C%22recipes%22%3A%5B%5D%2C%22VOD%22%3A%5B%5D%2C%22time%22%3A%222016-10-28%2016%3A13%3A26%3A621%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.0.1; SAMSUNG GT-I9505 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36
2016-10-28 23:13:43	815e34d43b18b907c4aa9b43d5a172bc.5809e4d7bddd62.19085041	46.135.190.249	cst-prg-190-249.cust.vodafone.cz	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-10-28%2016%3A13%3A43%3A818%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.0.1; SAMSUNG GT-I9505 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36
2016-10-28 23:13:45	815e34d43b18b907c4aa9b43d5a172bc.5809e4d7bddd62.19085041	46.135.190.249	cst-prg-190-249.cust.vodafone.cz	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-10-28%2016%3A13%3A45%3A967%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.0.1; SAMSUNG GT-I9505 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36
2016-10-28 23:14:16	815e34d43b18b907c4aa9b43d5a172bc.5809e4d7bddd62.19085041	46.135.190.249	cst-prg-190-249.cust.vodafone.cz	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22gcvAPI%22%2C%22time%22%3A%222016-10-28%2016%3A14%3A16%3A527%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.0.1; SAMSUNG GT-I9505 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36
2016-10-28 23:14:30	815e34d43b18b907c4aa9b43d5a172bc.5809e4d7bddd62.19085041	46.135.190.249	cst-prg-190-249.cust.vodafone.cz	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E3%81%AB%22%2C%22time%22%3A%222016-10-28%2016%3A14%3A30%3A137%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.0.1; SAMSUNG GT-I9505 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36
2016-10-28 23:14:36	815e34d43b18b907c4aa9b43d5a172bc.5809e4d7bddd62.19085041	46.135.190.249	cst-prg-190-249.cust.vodafone.cz	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E7%A7%8B%E6%91%98%E3%81%BF%22%2C%22time%22%3A%222016-10-28%2016%3A14%3A35%3A827%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.0.1; SAMSUNG GT-I9505 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36
2016-10-28 23:14:37	815e34d43b18b907c4aa9b43d5a172bc.5809e4d7bddd62.19085041	46.135.190.249	cst-prg-190-249.cust.vodafone.cz	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E7%A7%8B%E6%91%98%E3%81%BF%E3%81%AE%22%2C%22time%22%3A%222016-10-28%2016%3A14%3A37%3A072%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.0.1; SAMSUNG GT-I9505 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36
2016-10-28 23:14:38	815e34d43b18b907c4aa9b43d5a172bc.5809e4d7bddd62.19085041	46.135.190.249	cst-prg-190-249.cust.vodafone.cz	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E7%A7%8B%E6%91%98%E3%81%BF%E3%81%AE%E3%81%9F%22%2C%22time%22%3A%222016-10-28%2016%3A14%3A38%3A076%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.0.1; SAMSUNG GT-I9505 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36
2016-10-28 23:14:39	815e34d43b18b907c4aa9b43d5a172bc.5809e4d7bddd62.19085041	46.135.190.249	cst-prg-190-249.cust.vodafone.cz	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E7%A7%8B%E6%91%98%E3%81%BF%E3%81%AE%E3%81%9F%E3%81%AB%22%2C%22time%22%3A%222016-10-28%2016%3A14%3A39%3A369%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.0.1; SAMSUNG GT-I9505 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36
2016-10-28 23:14:42	815e34d43b18b907c4aa9b43d5a172bc.5809e4d7bddd62.19085041	46.135.190.249	cst-prg-190-249.cust.vodafone.cz	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E7%A7%8B%E6%91%98%E3%81%BF%22%2C%22time%22%3A%222016-10-28%2016%3A14%3A42%3A260%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.0.1; SAMSUNG GT-I9505 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36
2016-10-28 23:14:43	815e34d43b18b907c4aa9b43d5a172bc.5809e4d7bddd62.19085041	46.135.190.249	cst-prg-190-249.cust.vodafone.cz	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E7%A7%8B%E6%91%98%E3%81%BF%E3%81%AE%22%2C%22time%22%3A%222016-10-28%2016%3A14%3A43%3A627%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.0.1; SAMSUNG GT-I9505 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36
2016-10-28 23:14:44	815e34d43b18b907c4aa9b43d5a172bc.5809e4d7bddd62.19085041	46.135.190.249	cst-prg-190-249.cust.vodafone.cz	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E7%A7%8B%E6%91%98%E3%81%BF%E3%81%AE%E7%95%AA%E8%8C%B6%22%2C%22time%22%3A%222016-10-28%2016%3A14%3A44%3A759%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.0.1; SAMSUNG GT-I9505 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36
2016-10-28 23:14:46	815e34d43b18b907c4aa9b43d5a172bc.5809e4d7bddd62.19085041	46.135.190.249	cst-prg-190-249.cust.vodafone.cz	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E7%A7%8B%E6%91%98%E3%81%BF%E3%81%AE%E7%95%AA%E8%8C%B6%E3%81%AB%22%2C%22time%22%3A%222016-10-28%2016%3A14%3A46%3A079%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.0.1; SAMSUNG GT-I9505 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36
2016-10-28 23:14:47	815e34d43b18b907c4aa9b43d5a172bc.5809e4d7bddd62.19085041	46.135.190.249	cst-prg-190-249.cust.vodafone.cz	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E7%A7%8B%E6%91%98%E3%81%BF%E3%81%AE%E7%95%AA%E8%8C%B6%E3%81%AB%E8%92%B8%E3%81%97%22%2C%22time%22%3A%222016-10-28%2016%3A14%3A47%3A164%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.0.1; SAMSUNG GT-I9505 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36
2016-10-28 23:14:48	815e34d43b18b907c4aa9b43d5a172bc.5809e4d7bddd62.19085041	46.135.190.249	cst-prg-190-249.cust.vodafone.cz	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E7%A7%8B%E6%91%98%E3%81%BF%E3%81%AE%E7%95%AA%E8%8C%B6%E3%81%AB%E8%92%B8%E3%81%97%E6%B7%B1%22%2C%22time%22%3A%222016-10-28%2016%3A14%3A48%3A457%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.0.1; SAMSUNG GT-I9505 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36
2016-10-28 23:14:50	815e34d43b18b907c4aa9b43d5a172bc.5809e4d7bddd62.19085041	46.135.190.249	cst-prg-190-249.cust.vodafone.cz	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E7%A7%8B%E6%91%98%E3%81%BF%E3%81%AE%E7%95%AA%E8%8C%B6%E3%81%AB%E8%92%B8%E3%81%97%E6%B7%B1%E6%B7%B1%22%2C%22time%22%3A%222016-10-28%2016%3A14%3A50%3A759%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.0.1; SAMSUNG GT-I9505 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36
2016-10-28 23:14:51	815e34d43b18b907c4aa9b43d5a172bc.5809e4d7bddd62.19085041	46.135.190.249	cst-prg-190-249.cust.vodafone.cz	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E7%A7%8B%E6%91%98%E3%81%BF%E3%81%AE%E7%95%AA%E8%8C%B6%E3%81%AB%E8%92%B8%E3%81%97%E6%B7%B1%E6%B7%B1%E6%B7%B1%22%2C%22time%22%3A%222016-10-28%2016%3A14%3A51%3A898%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.0.1; SAMSUNG GT-I9505 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36
2016-10-28 23:15:03	815e34d43b18b907c4aa9b43d5a172bc.5809e4d7bddd62.19085041	46.135.190.249	cst-prg-190-249.cust.vodafone.cz	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E7%A7%8B%E6%91%98%E3%81%BF%22%2C%22time%22%3A%222016-10-28%2016%3A15%3A03%3A648%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.0.1; SAMSUNG GT-I9505 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36
2016-10-28 23:15:05	815e34d43b18b907c4aa9b43d5a172bc.5809e4d7bddd62.19085041	46.135.190.249	cst-prg-190-249.cust.vodafone.cz	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E7%A7%8B%E6%91%98%E3%81%BF%E3%81%AE%22%2C%22time%22%3A%222016-10-28%2016%3A15%3A05%3A944%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.0.1; SAMSUNG GT-I9505 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36
2016-10-28 23:15:07	815e34d43b18b907c4aa9b43d5a172bc.5809e4d7bddd62.19085041	46.135.190.249	cst-prg-190-249.cust.vodafone.cz	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E7%A7%8B%E6%91%98%E3%81%BF%E3%81%AE%E7%95%AA%E8%8C%B6%22%2C%22time%22%3A%222016-10-28%2016%3A15%3A07%3A139%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.0.1; SAMSUNG GT-I9505 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36
2016-10-28 23:15:08	815e34d43b18b907c4aa9b43d5a172bc.5809e4d7bddd62.19085041	46.135.190.249	cst-prg-190-249.cust.vodafone.cz	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E7%A7%8B%E6%91%98%E3%81%BF%E3%81%AE%E7%95%AA%E8%8C%B6%E3%80%81%22%2C%22time%22%3A%222016-10-28%2016%3A15%3A08%3A316%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.0.1; SAMSUNG GT-I9505 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36
2016-10-28 23:15:24	815e34d43b18b907c4aa9b43d5a172bc.5809e4d7bddd62.19085041	46.135.190.249	cst-prg-190-249.cust.vodafone.cz	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E7%A7%8B%E6%91%98%E3%81%BF%22%2C%22time%22%3A%222016-10-28%2016%3A15%3A23%3A727%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.0.1; SAMSUNG GT-I9505 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36
