2016-11-07 15:19:56	6ac091d93cd5e77ea411e2dd5675e4e1.5804c82c1f6b31.25298531	182.251.248.16	KD182251248016.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-11-07%2015%3A19%3A56%3A170%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1
2016-11-07 15:19:59	6ac091d93cd5e77ea411e2dd5675e4e1.5804c82c1f6b31.25298531	182.251.248.16	KD182251248016.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22WatchTV%22%2C%22event%22%3A%22mainpageShow%22%2C%22program%22%3A%22E1001500%22%2C%22VODrelation%22%3A%22tradition%22%2C%22VOD%22%3A%22V2007248%2CV2007163%2CV2007250%2CV2007253%2CV2007245%2CV2007229%2CV2007260%2CV2007263%2CV2007262%2CV2007265%2CV2007264%22%2C%22time%22%3A%222016-11-07%2015%3A19%3A59%3A673%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1
2016-11-07 15:20:00	6ac091d93cd5e77ea411e2dd5675e4e1.5804c82c1f6b31.25298531	182.251.248.16	KD182251248016.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-11-07%2015%3A20%3A00%3A398%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1
2016-11-07 15:20:01	6ac091d93cd5e77ea411e2dd5675e4e1.5804c82c1f6b31.25298531	182.251.248.16	KD182251248016.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-11-07%2015%3A20%3A01%3A329%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1
2016-11-07 15:20:02	6ac091d93cd5e77ea411e2dd5675e4e1.5804c82c1f6b31.25298531	182.251.248.16	KD182251248016.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-11-07%2015%3A20%3A01%3A973%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1
2016-11-07 15:20:02	6ac091d93cd5e77ea411e2dd5675e4e1.5804c82c1f6b31.25298531	182.251.248.16	KD182251248016.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-11-07%2015%3A20%3A02%3A602%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1
2016-11-07 15:20:03	6ac091d93cd5e77ea411e2dd5675e4e1.5804c82c1f6b31.25298531	182.251.248.16	KD182251248016.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-11-07%2015%3A20%3A02%3A972%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1
2016-11-07 15:20:32	6ac091d93cd5e77ea411e2dd5675e4e1.5804c82c1f6b31.25298531	182.251.248.16	KD182251248016.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22WatchTV%22%2C%22event%22%3A%22mainpageShow%22%2C%22program%22%3A%22E1001500%22%2C%22VODrelation%22%3A%22nature%22%2C%22VOD%22%3A%22V2007249%2CV2007259%2CV2007251%2CV2007252%2CV2007254%2CV2007257%2CV2007239%2CV2007261%2CV2007267%2CV2007242%2CV2007241%2CV2007246%2CV2007209%22%2C%22time%22%3A%222016-11-07%2015%3A20%3A32%3A255%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1
2016-11-07 15:20:32	6ac091d93cd5e77ea411e2dd5675e4e1.5804c82c1f6b31.25298531	182.251.248.16	KD182251248016.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-11-07%2015%3A20%3A32%3A643%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1
2016-11-07 15:20:33	6ac091d93cd5e77ea411e2dd5675e4e1.5804c82c1f6b31.25298531	182.251.248.16	KD182251248016.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22WatchTV%22%2C%22event%22%3A%22mainpageShow%22%2C%22program%22%3A%22E1001500%22%2C%22VODrelation%22%3A%22culture%22%2C%22VOD%22%3A%22V2007258%2CV2007255%2CV2007256%2CV2007243%2CV205324%22%2C%22time%22%3A%222016-11-07%2015%3A20%3A33%3A483%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1
2016-11-07 15:20:33	6ac091d93cd5e77ea411e2dd5675e4e1.5804c82c1f6b31.25298531	182.251.248.16	KD182251248016.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-11-07%2015%3A20%3A33%3A548%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1
2016-11-07 15:20:34	6ac091d93cd5e77ea411e2dd5675e4e1.5804c82c1f6b31.25298531	182.251.248.16	KD182251248016.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-11-07%2015%3A20%3A33%3A965%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1
2016-11-07 15:20:36	6ac091d93cd5e77ea411e2dd5675e4e1.5804c82c1f6b31.25298531	182.251.248.16	KD182251248016.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-11-07%2015%3A20%3A36%3A011%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1
2016-11-07 15:20:37	6ac091d93cd5e77ea411e2dd5675e4e1.5804c82c1f6b31.25298531	182.251.248.16	KD182251248016.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22WatchTV%22%2C%22event%22%3A%22mainpageShow%22%2C%22program%22%3A%22E1001500%22%2C%22VODrelation%22%3A%22culture%22%2C%22VOD%22%3A%22V2007258%2CV2007255%2CV2007256%2CV2007243%2CV205324%22%2C%22time%22%3A%222016-11-07%2015%3A20%3A37%3A084%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1
2016-11-07 15:20:37	6ac091d93cd5e77ea411e2dd5675e4e1.5804c82c1f6b31.25298531	182.251.248.16	KD182251248016.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-11-07%2015%3A20%3A37%3A263%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1
2016-11-07 15:20:38	6ac091d93cd5e77ea411e2dd5675e4e1.5804c82c1f6b31.25298531	182.251.248.16	KD182251248016.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22WatchTV%22%2C%22event%22%3A%22mainpageShow%22%2C%22program%22%3A%22E1001500%22%2C%22VODrelation%22%3A%22nature%22%2C%22VOD%22%3A%22V2007249%2CV2007259%2CV2007251%2CV2007252%2CV2007254%2CV2007257%2CV2007239%2CV2007261%2CV2007267%2CV2007242%2CV2007241%2CV2007246%2CV2007209%22%2C%22time%22%3A%222016-11-07%2015%3A20%3A38%3A149%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1
