2016-10-22 15:12:14	fa134ead9480f871cf8f88856a2f81b2.5809a5556a6319.57380062	111.107.183.13	KD111107183013.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-10-22%2015%3A12%3A14%3A299%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1
2016-10-22 15:12:17	fa134ead9480f871cf8f88856a2f81b2.5809a5556a6319.57380062	111.107.183.13	KD111107183013.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-10-22%2015%3A12%3A16%3A969%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1
2016-10-22 15:12:41	fa134ead9480f871cf8f88856a2f81b2.5809a5556a6319.57380062	111.107.183.13	KD111107183013.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22gcvAPI%22%2C%22time%22%3A%222016-10-22%2015%3A12%3A40%3A385%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1
2016-10-22 15:13:55	fa134ead9480f871cf8f88856a2f81b2.5809a5556a6319.57380062	111.107.183.13	KD111107183013.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E3%81%8A%E5%AE%A2%E6%A7%98%22%2C%22time%22%3A%222016-10-22%2015%3A13%3A55%3A465%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1
2016-10-22 15:13:56	fa134ead9480f871cf8f88856a2f81b2.5809a5556a6319.57380062	111.107.183.13	KD111107183013.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E3%81%8A%E5%AE%A2%E6%A7%98%E3%81%AB%22%2C%22time%22%3A%222016-10-22%2015%3A13%3A56%3A538%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1
2016-10-22 15:13:57	fa134ead9480f871cf8f88856a2f81b2.5809a5556a6319.57380062	111.107.183.13	KD111107183013.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E3%81%8A%E5%AE%A2%E6%A7%98%E3%81%AB%E3%81%8A%E9%A1%98%E3%81%84%22%2C%22time%22%3A%222016-10-22%2015%3A13%3A57%3A428%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1
2016-10-22 15:13:59	fa134ead9480f871cf8f88856a2f81b2.5809a5556a6319.57380062	111.107.183.13	KD111107183013.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E3%81%8A%E5%AE%A2%E6%A7%98%E3%81%AB%E3%81%8A%E9%A1%98%E3%81%84%E3%81%84%E3%81%9F%E3%81%97%22%2C%22time%22%3A%222016-10-22%2015%3A13%3A58%3A527%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1
2016-10-22 15:14:00	fa134ead9480f871cf8f88856a2f81b2.5809a5556a6319.57380062	111.107.183.13	KD111107183013.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E3%81%8A%E5%AE%A2%E6%A7%98%E3%81%AB%E3%81%8A%E9%A1%98%E3%81%84%E3%81%84%E3%81%9F%E3%81%97%E3%81%BE%E3%81%99%22%2C%22time%22%3A%222016-10-22%2015%3A14%3A00%3A191%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1
2016-10-22 15:14:03	fa134ead9480f871cf8f88856a2f81b2.5809a5556a6319.57380062	111.107.183.13	KD111107183013.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E3%81%8A%E5%AE%A2%E6%A7%98%E3%81%AB%E3%81%8A%E9%A1%98%E3%81%84%E3%81%84%E3%81%9F%E3%81%97%E3%81%BE%E3%81%99%E3%81%AA%E3%82%93%E3%81%A0%E3%81%8B%22%2C%22time%22%3A%222016-10-22%2015%3A14%3A03%3A625%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1
2016-10-22 15:14:04	fa134ead9480f871cf8f88856a2f81b2.5809a5556a6319.57380062	111.107.183.13	KD111107183013.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E3%81%8A%E5%AE%A2%E6%A7%98%E3%81%AB%E3%81%8A%E9%A1%98%E3%81%84%E3%81%84%E3%81%9F%E3%81%97%E3%81%BE%E3%81%99%E3%81%AA%E3%82%93%E3%81%A0%E3%81%8B%E6%B0%97%E5%88%86%22%2C%22time%22%3A%222016-10-22%2015%3A14%3A04%3A525%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1
2016-10-22 15:14:06	fa134ead9480f871cf8f88856a2f81b2.5809a5556a6319.57380062	111.107.183.13	KD111107183013.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E3%81%8A%E5%AE%A2%E6%A7%98%E3%81%AB%E3%81%8A%E9%A1%98%E3%81%84%E3%81%84%E3%81%9F%E3%81%97%E3%81%BE%E3%81%99%E3%81%AA%E3%82%93%E3%81%A0%E3%81%8B%E6%B0%97%E5%88%86%E6%82%AA%E3%81%84%22%2C%22time%22%3A%222016-10-22%2015%3A14%3A06%3A112%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1
2016-10-22 15:14:07	fa134ead9480f871cf8f88856a2f81b2.5809a5556a6319.57380062	111.107.183.13	KD111107183013.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E3%81%8A%E5%AE%A2%E6%A7%98%E3%81%AB%E3%81%8A%E9%A1%98%E3%81%84%E3%81%84%E3%81%9F%E3%81%97%E3%81%BE%E3%81%99%E3%81%AA%E3%82%93%E3%81%A0%E3%81%8B%E6%B0%97%E5%88%86%E6%82%AA%E3%81%84%E3%81%8C%22%2C%22time%22%3A%222016-10-22%2015%3A14%3A07%3A476%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1
2016-10-22 15:14:08	fa134ead9480f871cf8f88856a2f81b2.5809a5556a6319.57380062	111.107.183.13	KD111107183013.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E3%81%8A%E5%AE%A2%E6%A7%98%E3%81%AB%E3%81%8A%E9%A1%98%E3%81%84%E3%81%84%E3%81%9F%E3%81%97%E3%81%BE%E3%81%99%E3%81%AA%E3%82%93%E3%81%A0%E3%81%8B%E6%B0%97%E5%88%86%E6%82%AA%E3%81%84%E3%81%8C%E3%81%AA%E3%81%81%22%2C%22time%22%3A%222016-10-22%2015%3A14%3A08%3A392%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1
2016-10-22 15:14:10	fa134ead9480f871cf8f88856a2f81b2.5809a5556a6319.57380062	111.107.183.13	KD111107183013.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E3%81%8A%E5%AE%A2%E6%A7%98%E3%81%AB%E3%81%8A%E9%A1%98%E3%81%84%E3%81%84%E3%81%9F%E3%81%97%E3%81%BE%E3%81%99%E3%81%AA%E3%82%93%E3%81%A0%E3%81%8B%E6%B0%97%E5%88%86%E6%82%AA%E3%81%84%E3%81%8C%E3%81%AA%E3%81%81%E7%84%A1%E7%90%86%22%2C%22time%22%3A%222016-10-22%2015%3A14%3A10%3A340%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1
2016-10-22 15:14:11	fa134ead9480f871cf8f88856a2f81b2.5809a5556a6319.57380062	111.107.183.13	KD111107183013.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E3%81%8A%E5%AE%A2%E6%A7%98%E3%81%AB%E3%81%8A%E9%A1%98%E3%81%84%E3%81%84%E3%81%9F%E3%81%97%E3%81%BE%E3%81%99%E3%81%AA%E3%82%93%E3%81%A0%E3%81%8B%E6%B0%97%E5%88%86%E6%82%AA%E3%81%84%E3%81%8C%E3%81%AA%E3%81%81%E7%84%A1%E7%90%86%E9%99%8D%E3%82%8A%22%2C%22time%22%3A%222016-10-22%2015%3A14%3A11%3A056%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1
2016-10-22 15:14:12	fa134ead9480f871cf8f88856a2f81b2.5809a5556a6319.57380062	111.107.183.13	KD111107183013.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E3%81%8A%E5%AE%A2%E6%A7%98%E3%81%AB%E3%81%8A%E9%A1%98%E3%81%84%E3%81%84%E3%81%9F%E3%81%97%E3%81%BE%E3%81%99%E3%81%AA%E3%82%93%E3%81%A0%E3%81%8B%E6%B0%97%E5%88%86%E6%82%AA%E3%81%84%E3%81%8C%E3%81%AA%E3%81%81%E7%84%A1%E7%90%86%E9%99%8D%E3%82%8A%E3%81%AA%E3%81%95%E3%82%89%22%2C%22time%22%3A%222016-10-22%2015%3A14%3A11%3A777%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1
2016-10-22 15:14:13	fa134ead9480f871cf8f88856a2f81b2.5809a5556a6319.57380062	111.107.183.13	KD111107183013.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E3%81%8A%E5%AE%A2%E6%A7%98%E3%81%AB%E3%81%8A%E9%A1%98%E3%81%84%E3%81%84%E3%81%9F%E3%81%97%E3%81%BE%E3%81%99%E3%81%AA%E3%82%93%E3%81%A0%E3%81%8B%E6%B0%97%E5%88%86%E6%82%AA%E3%81%84%E3%81%8C%E3%81%AA%E3%81%81%E7%84%A1%E7%90%86%E9%99%8D%E3%82%8A%E3%81%AA%E3%81%95%E3%82%89%E3%82%92%22%2C%22time%22%3A%222016-10-22%2015%3A14%3A12%3A408%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1
2016-10-22 15:14:13	fa134ead9480f871cf8f88856a2f81b2.5809a5556a6319.57380062	111.107.183.13	KD111107183013.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E3%81%8A%E5%AE%A2%E6%A7%98%E3%81%AB%E3%81%8A%E9%A1%98%E3%81%84%E3%81%84%E3%81%9F%E3%81%97%E3%81%BE%E3%81%99%E3%81%AA%E3%82%93%E3%81%A0%E3%81%8B%E6%B0%97%E5%88%86%E6%82%AA%E3%81%84%E3%81%8C%E3%81%AA%E3%81%81%E7%84%A1%E7%90%86%E9%99%8D%E3%82%8A%E3%81%AA%E3%81%95%E3%82%89%E3%82%92%E3%81%8A%22%2C%22time%22%3A%222016-10-22%2015%3A14%3A13%3A138%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1
2016-10-22 15:14:14	fa134ead9480f871cf8f88856a2f81b2.5809a5556a6319.57380062	111.107.183.13	KD111107183013.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E3%81%8A%E5%AE%A2%E6%A7%98%E3%81%AB%E3%81%8A%E9%A1%98%E3%81%84%E3%81%84%E3%81%9F%E3%81%97%E3%81%BE%E3%81%99%E3%81%AA%E3%82%93%E3%81%A0%E3%81%8B%E6%B0%97%E5%88%86%E6%82%AA%E3%81%84%E3%81%8C%E3%81%AA%E3%81%81%E7%84%A1%E7%90%86%E9%99%8D%E3%82%8A%E3%81%AA%E3%81%95%E3%82%89%E3%82%92%E3%81%8A%E3%81%AA%E3%81%A3%22%2C%22time%22%3A%222016-10-22%2015%3A14%3A13%3A856%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1
