2016-10-25 04:10:31	71221da74dc29fb293962a0c38aef5e3.5805fb7eaffff5.38488026	91.105.20.73	91.105.20.73	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E5%90%8A%E3%82%8A%E4%B8%8B%E3%81%92%22%2C%22time%22%3A%222016-10-24%2022%3A10%3A31%3A176%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.1.1; A0001 Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.124 Mobile Safari/537.36
2016-10-25 04:10:31	71221da74dc29fb293962a0c38aef5e3.5805fb7eaffff5.38488026	91.105.20.73	91.105.20.73	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E5%90%8A%E3%82%8A%E4%B8%8B%E3%81%92%E7%A9%B4%22%2C%22time%22%3A%222016-10-24%2022%3A10%3A31%3A682%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.1.1; A0001 Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.124 Mobile Safari/537.36
2016-10-25 04:10:33	71221da74dc29fb293962a0c38aef5e3.5805fb7eaffff5.38488026	91.105.20.73	91.105.20.73	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22search%22%2C%22string%22%3A%22%E5%90%8A%E3%82%8A%E4%B8%8B%E3%81%92%E7%A9%B4%22%2C%22time%22%3A%222016-10-24%2022%3A10%3A33%3A630%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.1.1; A0001 Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.124 Mobile Safari/537.36
2016-10-25 04:10:37	71221da74dc29fb293962a0c38aef5e3.5805fb7eaffff5.38488026	91.105.20.73	91.105.20.73	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22detailShow%22%2C%22string%22%3A%22%E5%90%8A%E3%82%8A%E4%B8%8B%E3%81%92%E7%A9%B4%22%2C%22recipes%22%3A%5B%5D%2C%22VOD%22%3A%5B%5D%2C%22time%22%3A%222016-10-24%2022%3A10%3A37%3A018%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.1.1; A0001 Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.124 Mobile Safari/537.36
2016-10-25 04:10:40	71221da74dc29fb293962a0c38aef5e3.5805fb7eaffff5.38488026	91.105.20.73	91.105.20.73	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E5%90%8A%E3%82%8A%E4%B8%8B%E3%81%92%E7%A9%B4%E5%90%8A%E3%82%8A%22%2C%22time%22%3A%222016-10-24%2022%3A10%3A40%3A315%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.1.1; A0001 Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.124 Mobile Safari/537.36
2016-10-25 04:10:46	71221da74dc29fb293962a0c38aef5e3.5805fb7eaffff5.38488026	91.105.20.73	91.105.20.73	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E6%B0%B4%E5%88%87%E3%82%8C%22%2C%22time%22%3A%222016-10-24%2022%3A10%3A46%3A207%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.1.1; A0001 Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.124 Mobile Safari/537.36
2016-10-25 04:10:47	71221da74dc29fb293962a0c38aef5e3.5805fb7eaffff5.38488026	91.105.20.73	91.105.20.73	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E6%B0%B4%E5%88%87%E3%82%8C%E5%A8%98%22%2C%22time%22%3A%222016-10-24%2022%3A10%3A47%3A443%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.1.1; A0001 Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.124 Mobile Safari/537.36
2016-10-25 04:10:48	71221da74dc29fb293962a0c38aef5e3.5805fb7eaffff5.38488026	91.105.20.73	91.105.20.73	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E6%B0%B4%E5%88%87%E3%82%8C%E5%A8%98%E3%81%84%22%2C%22time%22%3A%222016-10-24%2022%3A10%3A48%3A186%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.1.1; A0001 Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.124 Mobile Safari/537.36
2016-10-25 04:10:51	71221da74dc29fb293962a0c38aef5e3.5805fb7eaffff5.38488026	91.105.20.73	91.105.20.73	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22search%22%2C%22string%22%3A%22%E6%B0%B4%E5%88%87%E3%82%8C%E5%A8%98%E3%81%84%22%2C%22time%22%3A%222016-10-24%2022%3A10%3A51%3A519%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.1.1; A0001 Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.124 Mobile Safari/537.36
2016-10-25 04:10:54	71221da74dc29fb293962a0c38aef5e3.5805fb7eaffff5.38488026	91.105.20.73	91.105.20.73	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22detailShow%22%2C%22string%22%3A%22%E6%B0%B4%E5%88%87%E3%82%8C%E5%A8%98%E3%81%84%22%2C%22recipes%22%3A%5B%5D%2C%22VOD%22%3A%5B%5D%2C%22time%22%3A%222016-10-24%2022%3A10%3A54%3A345%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.1.1; A0001 Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.124 Mobile Safari/537.36
